Gender,Sector,Age,Vacc Period,Epi Day,Cohort,N_person,Rate_per_1K
female,ultra-Orthodox Jews,60-69,FebA,13/08/2021,2nd,2067,0
female,ultra-Orthodox Jews,60-69,FebA,13/08/2021,12+,35,0
female,ultra-Orthodox Jews,60-69,FebB,13/08/2021,2nd,769,1.300390117
female,ultra-Orthodox Jews,70-79,JanB,13/08/2021,2nd,1205,0.829875519
female,ultra-Orthodox Jews,70-79,JanB,13/08/2021,12+,159,0
female,ultra-Orthodox Jews,70-79,FebA,13/08/2021,2nd,1402,0
female,ultra-Orthodox Jews,70-79,FebA,13/08/2021,12+,22,0
female,ultra-Orthodox Jews,70-79,FebB,13/08/2021,2nd,427,2.341920375
female,ultra-Orthodox Jews,70-79,FebB,13/08/2021,12+,<5,0
female,ultra-Orthodox Jews,80+,JanB,13/08/2021,2nd,829,2.412545235
female,ultra-Orthodox Jews,80+,JanB,13/08/2021,12+,73,0
female,ultra-Orthodox Jews,80+,FebA,13/08/2021,2nd,902,0
female,ultra-Orthodox Jews,80+,FebA,13/08/2021,12+,14,0
female,ultra-Orthodox Jews,80+,FebB,13/08/2021,2nd,216,0
male,General Jewish,60-69,JanB,13/08/2021,2nd,30656,0.782881002
male,General Jewish,60-69,JanB,13/08/2021,12+,7342,0
male,General Jewish,60-69,FebA,13/08/2021,2nd,32063,0.561394754
male,General Jewish,60-69,FebA,13/08/2021,12+,850,0
male,General Jewish,60-69,FebB,13/08/2021,2nd,8737,0.114455763
male,General Jewish,60-69,FebB,13/08/2021,12+,62,0
male,General Jewish,70-79,JanB,13/08/2021,2nd,18377,0.652990151
male,General Jewish,70-79,JanB,13/08/2021,12+,7490,0
male,General Jewish,70-79,FebA,13/08/2021,2nd,16218,0.678258725
male,General Jewish,70-79,FebA,13/08/2021,12+,741,0
male,General Jewish,70-79,FebB,13/08/2021,2nd,3697,0.540979172
male,General Jewish,70-79,FebB,13/08/2021,12+,35,0
male,General Jewish,80+,JanB,13/08/2021,2nd,9766,0.102396068
male,General Jewish,80+,JanB,13/08/2021,12+,2938,0.340367597
male,General Jewish,80+,FebA,13/08/2021,2nd,9795,0.714650332
male,General Jewish,80+,FebA,13/08/2021,12+,389,0
male,General Jewish,80+,FebB,13/08/2021,2nd,2073,0.482392668
male,General Jewish,80+,FebB,13/08/2021,12+,20,0
male,Arab,60-69,JanB,13/08/2021,2nd,3604,0
male,Arab,60-69,JanB,13/08/2021,12+,287,0
male,Arab,60-69,FebA,13/08/2021,2nd,6638,0.301295571
male,Arab,60-69,FebA,13/08/2021,12+,72,0
male,Arab,60-69,FebB,13/08/2021,2nd,2996,0.333778371
male,Arab,60-69,FebB,13/08/2021,12+,5,0
male,Arab,70-79,JanB,13/08/2021,2nd,1519,0
male,Arab,70-79,JanB,13/08/2021,12+,173,0
male,Arab,70-79,FebA,13/08/2021,2nd,3025,0.330578512
male,Arab,70-79,FebA,13/08/2021,12+,48,0
male,Arab,70-79,FebB,13/08/2021,2nd,1128,0
male,Arab,70-79,FebB,13/08/2021,12+,<5,0
male,Arab,80+,JanB,13/08/2021,2nd,651,1.53609831
male,Arab,80+,JanB,13/08/2021,12+,49,0
male,Arab,80+,FebA,13/08/2021,2nd,1190,0
male,Arab,80+,FebA,13/08/2021,12+,18,0
male,Arab,80+,FebB,13/08/2021,2nd,388,0
male,ultra-Orthodox Jews,60-69,JanB,13/08/2021,2nd,1701,1.175778954
male,ultra-Orthodox Jews,60-69,JanB,13/08/2021,12+,224,0
male,ultra-Orthodox Jews,60-69,FebA,13/08/2021,2nd,1766,1.132502831
male,ultra-Orthodox Jews,60-69,FebA,13/08/2021,12+,35,0
male,ultra-Orthodox Jews,60-69,FebB,13/08/2021,2nd,636,1.572327044
male,ultra-Orthodox Jews,60-69,FebB,13/08/2021,12+,<5,0
male,ultra-Orthodox Jews,70-79,JanB,13/08/2021,2nd,996,2.008032129
male,ultra-Orthodox Jews,70-79,JanB,13/08/2021,12+,218,0
male,ultra-Orthodox Jews,70-79,FebA,13/08/2021,2nd,966,0
male,ultra-Orthodox Jews,70-79,FebA,13/08/2021,12+,26,0
male,ultra-Orthodox Jews,70-79,FebB,13/08/2021,2nd,265,0
male,ultra-Orthodox Jews,70-79,FebB,13/08/2021,12+,<5,0
male,ultra-Orthodox Jews,80+,JanB,13/08/2021,2nd,501,0
male,ultra-Orthodox Jews,80+,JanB,13/08/2021,12+,83,0
male,ultra-Orthodox Jews,80+,FebA,13/08/2021,2nd,542,0
male,ultra-Orthodox Jews,80+,FebA,13/08/2021,12+,10,0
male,ultra-Orthodox Jews,80+,FebB,13/08/2021,2nd,122,0
male,ultra-Orthodox Jews,80+,FebB,13/08/2021,12+,<5,0
female,General Jewish,60-69,JanB,14/08/2021,2nd,36176,0.635780628
female,General Jewish,60-69,JanB,14/08/2021,12+,13369,0
female,General Jewish,60-69,FebA,14/08/2021,2nd,39654,0.353053916
female,General Jewish,60-69,FebA,14/08/2021,12+,2076,0.481695568
female,General Jewish,60-69,FebB,14/08/2021,2nd,11124,0.359582884
female,General Jewish,60-69,FebB,14/08/2021,12+,152,0
female,General Jewish,70-79,JanB,14/08/2021,2nd,22128,0.632682574
female,General Jewish,70-79,JanB,14/08/2021,12+,14911,0
female,General Jewish,70-79,FebA,14/08/2021,2nd,23192,0.215591583
female,General Jewish,70-79,FebA,14/08/2021,12+,2256,0
female,General Jewish,70-79,FebB,14/08/2021,2nd,5751,0.173882803
female,General Jewish,70-79,FebB,14/08/2021,12+,121,0
female,General Jewish,80+,JanB,14/08/2021,2nd,14777,0.270690939
female,General Jewish,80+,JanB,14/08/2021,12+,7648,0
female,General Jewish,80+,FebA,14/08/2021,2nd,16280,0.245700246
female,General Jewish,80+,FebA,14/08/2021,12+,1454,0
female,General Jewish,80+,FebB,14/08/2021,2nd,3708,0
female,General Jewish,80+,FebB,14/08/2021,12+,99,0
female,Arab,60-69,JanB,14/08/2021,2nd,2967,0
female,Arab,60-69,JanB,14/08/2021,12+,317,0
female,Arab,60-69,FebA,14/08/2021,2nd,7253,0.275747966
female,Arab,60-69,FebA,14/08/2021,12+,110,0
female,Arab,60-69,FebB,14/08/2021,2nd,3209,0.623247117
female,Arab,60-69,FebB,14/08/2021,12+,28,0
female,Arab,70-79,JanB,14/08/2021,2nd,1574,0.635324015
female,Arab,70-79,JanB,14/08/2021,12+,199,0
female,Arab,70-79,FebA,14/08/2021,2nd,3860,0.518134715
female,Arab,70-79,FebA,14/08/2021,12+,90,0
female,Arab,70-79,FebB,14/08/2021,2nd,1569,0.63734863
female,Arab,70-79,FebB,14/08/2021,12+,8,0
female,Arab,80+,JanB,14/08/2021,2nd,893,1.119820829
female,Arab,80+,JanB,14/08/2021,12+,73,0
female,Arab,80+,FebA,14/08/2021,2nd,1479,0
female,Arab,80+,FebA,14/08/2021,12+,19,0
female,Arab,80+,FebB,14/08/2021,2nd,595,0
female,Arab,80+,FebB,14/08/2021,12+,<5,0
female,ultra-Orthodox Jews,60-69,JanB,14/08/2021,2nd,1750,0
female,ultra-Orthodox Jews,60-69,JanB,14/08/2021,12+,462,0
female,ultra-Orthodox Jews,60-69,FebA,14/08/2021,2nd,2059,0.485672657
female,ultra-Orthodox Jews,60-69,FebA,14/08/2021,12+,93,0
female,ultra-Orthodox Jews,60-69,FebB,14/08/2021,2nd,766,0
female,ultra-Orthodox Jews,60-69,FebB,14/08/2021,12+,8,0
female,ultra-Orthodox Jews,70-79,JanB,14/08/2021,2nd,1193,0
female,ultra-Orthodox Jews,70-79,JanB,14/08/2021,12+,483,0
female,ultra-Orthodox Jews,70-79,FebA,14/08/2021,2nd,1393,0
female,ultra-Orthodox Jews,70-79,FebA,14/08/2021,12+,84,0
female,ultra-Orthodox Jews,70-79,FebB,14/08/2021,2nd,422,0
female,ultra-Orthodox Jews,70-79,FebB,14/08/2021,12+,<5,0
female,ultra-Orthodox Jews,80+,JanB,14/08/2021,2nd,822,0
female,ultra-Orthodox Jews,80+,JanB,14/08/2021,12+,230,0
female,ultra-Orthodox Jews,80+,FebA,14/08/2021,2nd,897,0
female,ultra-Orthodox Jews,80+,FebA,14/08/2021,12+,50,0
female,ultra-Orthodox Jews,80+,FebB,14/08/2021,2nd,216,0
